Name,DT Name,DT Notation
3_1,3a_1,[4; 6; 2]
4_1,4a_1,[4; 6; 8; 2]
5_1,5a_2,[6; 8; 10; 2; 4]
5_2,5a_1,[4; 8; 10; 2; 6]
6_1,6a_3,[4; 8; 12; 10; 2; 6]
6_2,6a_2,[4; 8; 10; 12; 2; 6]
6_3,6a_1,[4; 8; 10; 2; 12; 6]
7_1,7a_7,[8; 10; 12; 14; 2; 4; 6]
7_2,7a_4,[4; 10; 14; 12; 2; 8; 6]
7_3,7a_5,[6; 10; 12; 14; 2; 4; 8]
7_4,7a_6,[6; 10; 12; 14; 4; 2; 8]
7_5,7a_3,[4; 10; 12; 14; 2; 8; 6]
7_6,7a_2,[4; 8; 12; 2; 14; 6; 10]
7_7,7a_1,[4; 8; 10; 12; 2; 14; 6]
8_1,8a_11,[4; 10; 16; 14; 12; 2; 8; 6]
8_2,8a_8,[4; 10; 12; 14; 16; 2; 6; 8]
8_3,8a_18,[6; 12; 10; 16; 14; 4; 2; 8]
8_4,8a_17,[6; 10; 12; 16; 14; 4; 2; 8]
8_5,8a_13,[6; 8; 12; 2; 14; 16; 4; 10]
8_6,8a_10,[4; 10; 14; 16; 12; 2; 8; 6]
8_7,8a_6,[4; 10; 12; 14; 2; 16; 6; 8]
8_8,8a_4,[4; 8; 12; 2; 16; 14; 6; 10]
8_9,8a_16,[6; 10; 12; 14; 16; 4; 2; 8]
8_10,8a_3,[4; 8; 12; 2; 14; 16; 6; 10]
8_11,8a_9,[4; 10; 12; 14; 16; 2; 8; 6]
8_12,8a_5,[4; 8; 14; 10; 2; 16; 6; 12]
8_13,8a_7,[4; 10; 12; 14; 2; 16; 8; 6]
8_14,8a_1,[4; 8; 10; 14; 2; 16; 6; 12]
8_15,8a_2,[4; 8; 12; 2; 14; 6; 16; 10]
8_16,8a_15,[6; 8; 14; 12; 4; 16; 2; 10]
8_17,8a_14,[6; 8; 12; 14; 4; 16; 2; 10]
8_18,8a_12,[6; 8; 10; 12; 14; 16; 2; 4]
8_19,8n_3,[4; 8; -12; 2; -14; -16; -6; -10]
8_20,8n_1,[4; 8; -12; 2; -14; -6; -16; -10]
8_21,8n_2,[4; 8; -12; 2; 14; -6; 16; 10]
9_1,9a_41,[10; 12; 14; 16; 18; 2; 4; 6; 8]
9_2,9a_27,[4; 12; 18; 16; 14; 2; 10; 8; 6]
9_3,9a_38,[8; 12; 14; 16; 18; 2; 4; 6; 10]
9_4,9a_35,[6; 12; 14; 18; 16; 2; 4; 10; 8]
9_5,9a_36,[6; 12; 14; 18; 16; 4; 2; 10; 8]
9_6,9a_23,[4; 12; 14; 16; 18; 2; 10; 6; 8]
9_7,9a_26,[4; 12; 16; 18; 14; 2; 10; 8; 6]
9_8,9a_8,[4; 8; 14; 2; 18; 16; 6; 12; 10]
9_9,9a_33,[6; 12; 14; 16; 18; 2; 4; 10; 8]
9_10,9a_39,[8; 12; 14; 16; 18; 2; 6; 4; 10]
9_11,9a_20,[4; 10; 14; 16; 12; 2; 18; 6; 8]
9_12,9a_22,[4; 10; 16; 14; 2; 18; 8; 6; 12]
9_13,9a_34,[6; 12; 14; 16; 18; 4; 2; 10; 8]
9_14,9a_17,[4; 10; 12; 16; 14; 2; 18; 8; 6]
9_15,9a_10,[4; 8; 14; 10; 2; 18; 16; 6; 12]
9_16,9a_25,[4; 12; 16; 18; 14; 2; 8; 10; 6]
9_17,9a_14,[4; 10; 12; 14; 16; 2; 6; 18; 8]
9_18,9a_24,[4; 12; 14; 16; 18; 2; 10; 8; 6]
9_19,9a_3,[4; 8; 10; 14; 2; 18; 16; 6; 12]
9_20,9a_19,[4; 10; 14; 16; 2; 18; 8; 6; 12]
9_21,9a_21,[4; 10; 14; 16; 12; 2; 18; 8; 6]
9_22,9a_2,[4; 8; 10; 14; 2; 16; 18; 6; 12]
9_23,9a_16,[4; 10; 12; 16; 2; 8; 18; 6; 14]
9_24,9a_7,[4; 8; 14; 2; 16; 18; 6; 12; 10]
9_25,9a_4,[4; 8; 12; 2; 16; 6; 18; 10; 14]
9_26,9a_15,[4; 10; 12; 14; 16; 2; 18; 8; 6]
9_27,9a_12,[4; 10; 12; 14; 2; 18; 16; 6; 8]
9_28,9a_5,[4; 8; 12; 2; 16; 14; 6; 18; 10]
9_29,9a_31,[6; 10; 14; 18; 4; 16; 8; 2; 12]
9_30,9a_1,[4; 8; 10; 14; 2; 16; 6; 18; 12]
9_31,9a_13,[4; 10; 12; 14; 2; 18; 16; 8; 6]
9_32,9a_6,[4; 8; 12; 14; 2; 16; 18; 10; 6]
9_33,9a_11,[4; 8; 14; 12; 2; 16; 18; 10; 6]
9_34,9a_28,[6; 8; 10; 16; 14; 18; 4; 2; 12]
9_35,9a_40,[8; 12; 16; 14; 18; 4; 2; 6; 10]
9_36,9a_9,[4; 8; 14; 10; 2; 16; 18; 6; 12]
9_37,9a_18,[4; 10; 14; 12; 16; 2; 6; 18; 8]
9_38,9a_30,[6; 10; 14; 18; 4; 16; 2; 8; 12]
9_39,9a_32,[6; 10; 14; 18; 16; 2; 8; 4; 12]
9_40,9a_37,[6; 16; 14; 12; 4; 2; 18; 10; 8]
9_41,9a_29,[6; 10; 14; 12; 16; 2; 18; 4; 8]
9_42,9n_4,[4; 8; 10; -14; 2; -16; -18; -6; -12]
9_43,9n_3,[4; 8; 10; 14; 2; -16; 6; -18; -12]
9_44,9n_1,[4; 8; 10; -14; 2; -16; -6; -18; -12]
9_45,9n_2,[4; 8; 10; -14; 2; 16; -6; 18; 12]
9_46,9n_5,[4; 10; -14; -12; -16; 2; -6; -18; -8]
9_47,9n_7,[6; 8; 10; 16; 14; -18; 4; 2; -12]
9_48,9n_6,[4; 10; -14; -12; 16; 2; -6; 18; 8]
9_49,9n_8,[6; -10; -14; 12; -16; -2; 18; -4; -8]
10_1,10a_75,[4; 12; 20; 18; 16; 14; 2; 10; 8; 6]
10_2,10a_59,[4; 12; 14; 16; 18; 20; 2; 6; 8; 10]
10_3,10a_117,[6; 14; 12; 20; 18; 16; 4; 2; 10; 8]
10_4,10a_113,[6; 12; 14; 20; 18; 16; 4; 2; 10; 8]
10_5,10a_56,[4; 12; 14; 16; 18; 2; 20; 6; 8; 10]
10_6,10a_70,[4; 12; 16; 18; 20; 14; 2; 10; 6; 8]
10_7,10a_65,[4; 12; 14; 18; 16; 20; 2; 10; 8; 6]
10_8,10a_114,[6; 14; 12; 16; 18; 20; 4; 2; 8; 10]
10_9,10a_110,[6; 12; 14; 16; 18; 20; 4; 2; 8; 10]
10_10,10a_64,[4; 12; 14; 18; 16; 2; 20; 10; 8; 6]
10_11,10a_116,[6; 14; 12; 18; 20; 16; 4; 2; 10; 8]
10_12,10a_43,[4; 10; 14; 16; 2; 20; 18; 6; 8; 12]
10_13,10a_54,[4; 10; 18; 16; 12; 2; 20; 8; 6; 14]
10_14,10a_33,[4; 10; 12; 16; 18; 2; 20; 6; 8; 14]
10_15,10a_68,[4; 12; 16; 18; 14; 2; 10; 20; 6; 8]
10_16,10a_115,[6; 14; 12; 16; 18; 20; 4; 2; 10; 8]
10_17,10a_107,[6; 12; 14; 16; 18; 2; 4; 20; 8; 10]
10_18,10a_63,[4; 12; 14; 18; 16; 2; 10; 20; 8; 6]
10_19,10a_108,[6; 12; 14; 16; 18; 2; 4; 20; 10; 8]
10_20,10a_74,[4; 12; 18; 20; 16; 14; 2; 10; 8; 6]
10_21,10a_60,[4; 12; 14; 16; 18; 20; 2; 6; 10; 8]
10_22,10a_112,[6; 12; 14; 18; 20; 16; 4; 2; 10; 8]
10_23,10a_57,[4; 12; 14; 16; 18; 2; 20; 6; 10; 8]
10_24,10a_71,[4; 12; 16; 18; 20; 14; 2; 10; 8; 6]
10_25,10a_61,[4; 12; 14; 16; 18; 20; 2; 10; 8; 6]
10_26,10a_111,[6; 12; 14; 16; 18; 20; 4; 2; 10; 8]
10_27,10a_58,[4; 12; 14; 16; 18; 2; 20; 10; 8; 6]
10_28,10a_44,[4; 10; 14; 16; 2; 20; 18; 8; 6; 12]
10_29,10a_53,[4; 10; 16; 18; 12; 2; 20; 8; 6; 14]
10_30,10a_34,[4; 10; 12; 16; 18; 2; 20; 8; 6; 14]
10_31,10a_69,[4; 12; 16; 18; 14; 2; 10; 20; 8; 6]
10_32,10a_55,[4; 12; 14; 16; 18; 2; 10; 20; 8; 6]
10_33,10a_109,[6; 12; 14; 16; 18; 4; 2; 20; 10; 8]
10_34,10a_19,[4; 8; 14; 2; 20; 18; 16; 6; 12; 10]
10_35,10a_23,[4; 8; 16; 10; 2; 20; 18; 6; 14; 12]
10_36,10a_5,[4; 8; 10; 16; 2; 20; 18; 6; 14; 12]
10_37,10a_49,[4; 10; 16; 12; 2; 8; 20; 18; 6; 14]
10_38,10a_29,[4; 10; 12; 16; 2; 8; 20; 18; 6; 14]
10_39,10a_26,[4; 10; 12; 14; 18; 2; 6; 20; 8; 16]
10_40,10a_30,[4; 10; 12; 16; 2; 20; 6; 18; 8; 14]
