Name,DT Name,PD Notation
3_1,3a_1,[[1;5;2;4];[3;1;4;6];[5;3;6;2]]
4_1,4a_1,[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]]
5_1,5a_2,[[2;8;3;7];[4;10;5;9];[6;2;7;1];[8;4;9;3];[10;6;1;5]]
5_2,5a_1,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]]
6_1,6a_3,[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]]
6_2,6a_2,[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]]
6_3,6a_1,[[4;2;5;1];[8;4;9;3];[12;9;1;10];[10;5;11;6];[6;11;7;12];[2;8;3;7]]
7_1,7a_7,[[1;9;2;8];[3;11;4;10];[5;13;6;12];[7;1;8;14];[9;3;10;2];[11;5;12;4];[13;7;14;6]]
7_2,7a_4,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]]
7_3,7a_5,[[1;9;2;8];[3;11;4;10];[5;1;6;14];[7;13;8;12];[9;3;10;2];[11;5;12;4];[13;7;14;6]]
7_4,7a_6,[[2;10;3;9];[4;12;5;11];[6;14;7;13];[8;4;9;3];[10;2;11;1];[12;8;13;7];[14;6;1;5]]
7_5,7a_3,[[2;10;3;9];[4;2;5;1];[6;14;7;13];[8;12;9;11];[10;4;11;3];[12;6;13;5];[14;8;1;7]]
7_6,7a_2,[[1;13;2;12];[3;9;4;8];[5;1;6;14];[7;10;8;11];[9;3;10;2];[11;6;12;7];[13;5;14;4]]
7_7,7a_1,[[1;10;2;11];[3;13;4;12];[5;14;6;1];[7;5;8;4];[9;2;10;3];[11;9;12;8];[13;6;14;7]]
8_1,8a_11,[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]]
8_2,8a_8,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;5;14;4];[15;7;16;6]]
8_3,8a_18,[[6;2;7;1];[14;10;15;9];[10;5;11;6];[12;3;13;4];[4;11;5;12];[2;13;3;14];[16;8;1;7];[8;16;9;15]]
8_4,8a_17,[[2;11;3;12];[4;9;5;10];[6;16;7;15];[8;14;9;13];[10;1;11;2];[12;3;13;4];[14;8;15;7];[16;6;1;5]]
8_5,8a_13,[[1;7;2;6];[3;9;4;8];[5;12;6;13];[7;3;8;2];[9;15;10;14];[11;1;12;16];[13;4;14;5];[15;11;16;10]]
8_6,8a_10,[[2;9;3;10];[4;14;5;13];[6;16;7;15];[8;12;9;11];[10;1;11;2];[12;8;13;7];[14;6;15;5];[16;4;1;3]]
8_7,8a_6,[[2;9;3;10];[4;14;5;13];[6;15;7;16];[8;1;9;2];[10;5;11;6];[12;4;13;3];[14;12;15;11];[16;7;1;8]]
8_8,8a_4,[[1;7;2;6];[3;12;4;13];[5;9;6;8];[7;3;8;2];[9;16;10;1];[11;14;12;15];[13;4;14;5];[15;10;16;11]]
8_9,8a_16,[[6;2;7;1];[14;8;15;7];[10;3;11;4];[2;13;3;14];[12;5;13;6];[4;11;5;12];[16;10;1;9];[8;16;9;15]]
8_10,8a_3,[[2;14;3;13];[4;9;5;10];[6;11;7;12];[8;15;9;16];[10;5;11;6];[12;2;13;1];[14;7;15;8];[16;4;1;3]]
8_11,8a_9,[[1;10;2;11];[3;13;4;12];[5;15;6;14];[7;1;8;16];[9;2;10;3];[11;9;12;8];[13;7;14;6];[15;5;16;4]]
8_12,8a_5,[[4;2;5;1];[10;8;11;7];[8;3;9;4];[2;9;3;10];[14;6;15;5];[16;11;1;12];[12;15;13;16];[6;14;7;13]]
8_13,8a_7,[[1;9;2;8];[3;14;4;15];[5;12;6;13];[7;11;8;10];[9;3;10;2];[11;16;12;1];[13;4;14;5];[15;6;16;7]]
8_14,8a_1,[[2;12;3;11];[4;8;5;7];[6;15;7;16];[8;14;9;13];[10;2;11;1];[12;10;13;9];[14;4;15;3];[16;5;1;6]]
8_15,8a_2,[[1;7;2;6];[3;15;4;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[13;5;14;4];[15;11;16;10]]
8_16,8a_15,[[2;7;3;8];[4;10;5;9];[6;1;7;2];[8;14;9;13];[10;15;11;16];[12;6;13;5];[14;3;15;4];[16;11;1;12]]
8_17,8a_14,[[6;2;7;1];[14;8;15;7];[8;3;9;4];[2;13;3;14];[12;5;13;6];[4;9;5;10];[16;12;1;11];[10;16;11;15]]
8_18,8a_12,[[6;2;7;1];[8;3;9;4];[16;11;1;12];[2;14;3;13];[4;15;5;16];[10;6;11;5];[12;7;13;8];[14;10;15;9]]
8_19,8n_3,[[2;14;3;13];[5;11;6;10];[7;15;8;14];[9;5;10;4];[11;7;12;6];[12;2;13;1];[15;9;16;8];[16;4;1;3]]
8_20,8n_1,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[10;15;11;16];[12;9;13;10];[14;3;15;4];[16;11;1;12]]
8_21,8n_2,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[9;13;10;12];[11;1;12;16];[14;3;15;4];[15;11;16;10]]
9_1,9a_41,[[1;11;2;10];[3;13;4;12];[5;15;6;14];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]]
9_2,9a_27,[[2;8;3;7];[4;14;5;13];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;16;13;15];[14;6;15;5];[16;12;17;11];[18;10;1;9]]
9_3,9a_38,[[1;11;2;10];[3;15;4;14];[5;13;6;12];[7;17;8;16];[9;1;10;18];[11;3;12;2];[13;5;14;4];[15;7;16;6];[17;9;18;8]]
9_4,9a_35,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;8;17;7];[18;10;1;9]]
9_5,9a_36,[[2;14;3;13];[4;12;5;11];[6;16;7;15];[8;18;9;17];[10;6;11;5];[12;4;13;3];[14;2;15;1];[16;10;17;9];[18;8;1;7]]
9_6,9a_23,[[1;13;2;12];[3;7;4;6];[5;15;6;14];[7;3;8;2];[9;17;10;16];[11;1;12;18];[13;5;14;4];[15;9;16;8];[17;11;18;10]]
9_7,9a_26,[[2;10;3;9];[4;12;5;11];[6;16;7;15];[8;6;9;5];[10;4;11;3];[12;2;13;1];[14;18;15;17];[16;8;17;7];[18;14;1;13]]
9_8,9a_8,[[1;16;2;17];[3;14;4;15];[5;11;6;10];[7;1;8;18];[9;13;10;12];[11;7;12;6];[13;4;14;5];[15;2;16;3];[17;9;18;8]]
